emp_length,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,application_type,loan_amount,term,interest_rate,installment,grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
5.930306000217794,0,60000.0,1,31.22,90000.0,1,21.42,0,77.0,2003,4,21,9,375092,93016,0,0,34.0,0,0,3,8,2.0,9,0.0,0,2,15800,7,5,3,2,95.2,0,0,0,12000,60,19.03,311.49,3,2,0,0,0,11374.52,1532.08,625.48,906.6,0.0
3.0,1,72000.0,2,20.33,90000.0,1,21.42,0,37.0,2006,6,12,6,58911,54947,0,0,37.0,0,0,2,3,2.0,6,0.0,0,1,2500,5,4,2,0,91.7,0,0,0,30000,60,28.72,947.15,5,2,0,0,0,28798.08,4687.88,1201.92,3485.96,0.0
10.0,0,210000.0,0,9.53,90000.0,1,21.42,0,25.0,2003,2,18,7,322046,73705,0,0,34.0,0,0,4,6,2.0,7,0.0,0,2,17500,6,2,2,5,100.0,0,0,0,5000,36,26.77,203.51,4,1,1,1,0,0.0,5202.642672,5000.0,202.64,0.0
1.0,0,83000.0,2,18.44,90000.0,1,21.42,3,14.0,2005,1,11,6,555154,39482,0,0,22.0,0,0,1,1,8.0,6,0.0,0,3,8300,7,4,3,2,63.6,0,0,0,20000,60,15.05,476.33,2,2,1,0,0,0.0,20653.71772,20000.0,653.72,0.0
10.0,0,50000.0,1,15.6,90000.0,1,21.42,0,25.0,2003,0,13,9,70313,18128,0,0,34.0,0,0,2,4,13.0,9,0.0,0,2,18800,7,6,4,1,100.0,0,0,0,7000,36,6.08,213.21,0,2,0,1,0,6102.23,1063.69,897.77,165.92,0.0
1.0,0,42000.0,2,32.0,95000.0,2,16.12,0,25.0,1991,4,19,9,272403,47575,0,1,34.0,0,0,3,5,5.0,9,0.0,0,3,10100,7,5,5,1,100.0,0,1,1,10000,36,11.98,332.05,1,0,0,0,0,9296.37,989.49,703.63,285.86,0.0
5.0,0,100000.0,1,26.53,90000.0,1,21.42,0,25.0,2002,1,64,17,566384,151251,0,0,34.0,0,150,7,10,6.0,17,0.0,0,3,26200,22,8,6,6,100.0,0,0,0,21050,60,13.59,485.34,2,1,0,0,0,20045.3,1909.57,1004.7,904.87,0.0
5.930306000217794,0,40280.0,0,7.27,90000.0,1,21.42,0,25.0,1997,1,10,4,188450,6103,0,0,34.0,0,0,1,0,9.0,4,0.0,0,1,7500,7,2,1,1,90.0,0,0,0,3500,36,6.71,107.61,0,0,0,0,0,3323.42,223.71,176.58,47.13,0.0
10.0,1,82000.0,1,17.31,90000.0,1,21.42,0,67.0,1999,1,26,7,65425,69177,0,0,67.0,0,0,2,3,4.0,7,0.0,0,2,11500,14,5,5,2,88.0,0,0,0,8000,36,7.96,250.55,0,0,0,1,0,7403.61,744.57,596.39,148.18,0.0
7.0,0,55000.0,2,14.42,90000.0,1,21.42,0,25.0,2009,0,20,14,197985,17296,0,0,34.0,0,142,1,3,1.0,14,0.0,0,7,22100,16,12,8,1,100.0,0,0,0,18000,60,12.61,405.98,2,1,0,0,0,17342.65,1205.33,657.35,547.98,0.0
1.0,1,55000.0,2,13.68,90000.0,1,21.42,0,44.0,2013,7,17,11,41891,26637,0,0,44.0,0,0,1,11,3.0,11,0.0,0,3,17700,16,10,4,0,100.0,0,0,0,10000,36,11.98,332.05,1,0,0,0,0,9432.28,750.79,567.72,183.07,0.0
5.0,1,33000.0,1,19.38,90000.0,1,21.42,0,25.0,2013,0,9,8,43876,22920,0,0,34.0,0,0,5,2,19.0,8,0.0,0,3,17600,3,3,3,0,100.0,0,0,0,3200,36,7.34,99.31,0,1,0,0,0,2557.44,696.63,642.56,54.07,0.0
3.0,1,60000.0,1,11.0,90000.0,1,21.42,0,70.0,1998,0,13,9,56000,14338,0,0,70.0,0,0,2,5,1.0,9,0.0,0,2,36400,9,7,2,1,92.3,0,0,0,10000,36,5.32,301.15,0,2,0,0,0,8704.48,1498.36,1295.52,202.84,0.0
4.0,0,48000.0,2,2.88,90000.0,1,21.42,0,25.0,2002,2,26,9,147217,2489,0,0,34.0,0,0,2,3,0.0,9,0.0,0,1,25000,18,6,1,2,100.0,0,0,0,6000,36,6.07,182.73,0,0,0,0,0,5540.54,544.14,459.46,84.68,0.0
4.0,0,106000.0,0,26.25,90000.0,1,21.42,0,25.0,1997,2,36,15,405236,105548,0,0,34.0,0,0,2,4,0.0,15,0.0,0,8,62120,26,12,12,4,100.0,0,0,0,12000,36,12.62,402.14,2,1,0,0,0,10878.71,1600.15,1121.29,478.86,0.0
3.0,0,245000.0,2,24.9,90000.0,1,21.42,0,68.0,2002,1,37,20,772243,497876,0,0,68.0,0,0,13,4,6.0,20,0.0,0,2,74100,8,6,2,1,100.0,0,0,0,40000,60,9.44,838.91,1,1,0,0,0,37878.15,3334.66,2121.85,1212.81,0.0
9.0,0,50000.0,0,36.75,101000.0,0,20.92,1,3.0,1982,0,31,20,246210,51523,0,0,34.0,0,0,2,3,17.0,20,0.0,0,8,71100,26,17,10,2,90.3,0,0,1,19000,60,19.03,493.19,3,1,0,0,0,18214.02,1922.54,785.98,1136.56,0.0
3.0,0,80000.0,2,28.3,90000.0,1,21.42,0,35.0,2004,0,27,14,250359,113927,0,0,34.0,0,0,2,4,20.0,14,0.0,0,3,23800,14,11,6,4,96.3,0,0,0,28000,60,20.39,747.92,3,0,0,0,0,27169.59,2180.32,830.41,1349.91,0.0
10.0,0,140000.0,1,13.82,90000.0,1,21.42,0,25.0,1993,2,21,12,631258,69647,0,0,34.0,0,0,2,5,0.0,12,0.0,0,1,58100,13,9,3,2,100.0,0,0,0,15000,60,9.93,318.19,1,2,1,0,0,0.0,15005.16688,15000.0,5.17,0.0
1.0,2,70000.0,2,0.0,90000.0,1,21.42,0,31.0,2004,0,13,3,30400,92,0,0,34.0,0,0,0,0,1.0,3,0.0,0,0,0,11,3,1,0,92.3,0,0,0,2400,36,6.08,73.1,0,2,1,0,0,0.0,2409.049993,2400.0,9.05,0.0
2.0,1,45000.0,2,10.59,90000.0,1,21.42,0,25.0,2003,1,9,7,14500,13304,0,0,34.0,0,0,0,0,6.0,7,0.0,0,4,11300,8,7,6,0,100.0,0,0,0,10000,36,21.45,379.07,3,2,0,1,0,8961.95,1871.52,1038.05,833.47,0.0
10.0,0,70000.0,0,17.06,105000.0,0,13.27,0,102.0,1988,2,21,14,363649,29954,0,0,102.0,0,0,3,4,7.0,14,0.0,0,3,12900,15,10,7,2,95.2,0,0,1,24000,60,15.04,571.47,2,0,2,0,0,23455.27,1102.83,544.73,558.1,0.0
2.0,1,75000.0,1,18.53,90000.0,1,21.42,0,25.0,2006,2,12,6,55075,34186,0,0,34.0,0,0,2,3,2.0,6,0.0,0,1,19600,9,4,2,0,100.0,0,0,0,9500,36,10.42,308.42,1,2,0,0,0,8350.57,1531.1,1149.43,381.67,0.0
2.0,1,53592.0,2,7.1,90000.0,1,21.42,0,25.0,2009,0,6,4,42499,10466,2,0,34.0,0,3943,1,1,14.0,4,0.0,0,1,18800,3,3,2,1,100.0,0,0,0,30000,36,12.61,1005.2,2,1,0,0,0,27196.39,3978.77,2803.61,1175.16,0.0
5.930306000217794,0,19000.0,1,24.79,43000.0,1,17.15,0,25.0,2004,0,12,6,23234,12435,0,1,34.0,0,154,0,2,13.0,6,0.0,0,2,3000,8,5,4,1,100.0,0,1,1,10000,60,18.06,254.27,3,2,0,0,0,9465.3,1261.32,534.7,726.62,0.0
5.0,1,90000.0,2,15.72,90000.0,1,21.42,0,25.0,2005,8,24,10,77285,51012,0,0,34.0,0,0,2,4,3.0,10,0.0,0,2,23900,11,8,3,3,100.0,0,0,0,15000,60,11.99,333.6,1,1,0,0,0,14254.01,1314.42,745.99,568.43,0.0
10.0,1,77000.0,2,14.82,90000.0,1,21.42,0,80.0,1977,0,29,14,74852,44015,0,0,80.0,0,0,2,5,16.0,14,0.0,0,3,27700,19,11,6,3,96.6,0,0,0,35000,60,15.05,833.57,2,2,0,0,0,33391.61,3275.75,1608.39,1667.36,0.0
2.0,1,42000.0,2,25.89,90000.0,1,21.42,0,25.0,2004,1,11,6,43239,31094,0,0,34.0,0,0,3,4,1.0,6,0.0,0,2,8300,7,3,3,0,100.0,0,0,0,10000,36,15.05,346.9,2,1,0,0,0,9097.26,1379.24,902.74,476.5,0.0
4.0,0,130000.0,2,13.51,90000.0,1,21.42,0,25.0,1991,2,15,11,403408,49857,0,0,34.0,0,667,2,9,8.0,11,0.0,0,2,34300,7,6,4,2,100.0,0,0,0,40000,60,12.62,902.37,2,1,0,0,0,38042.58,3581.44,1957.42,1624.02,0.0
10.0,2,76300.0,1,10.71,90000.0,1,21.42,0,68.0,1980,4,30,12,185068,26515,0,1,68.0,0,0,2,7,0.0,12,0.0,0,2,16800,21,9,4,3,96.7,0,1,0,15000,36,6.72,461.24,0,2,0,0,0,13092.56,2295.0,1907.44,387.56,0.0
2.0,0,190000.0,1,2.68,90000.0,1,21.42,0,25.0,2004,0,17,9,175300,18870,0,0,34.0,0,0,0,4,16.0,9,0.0,0,4,78300,10,8,5,1,100.0,0,0,0,20000,36,6.71,614.9,0,0,0,0,0,18991.05,1214.89,1008.95,205.94,0.0
0.0,1,41000.0,0,25.7,90000.0,1,21.42,0,25.0,2008,0,23,7,29311,13527,0,0,34.0,0,0,2,1,17.0,7,0.0,0,5,10300,7,5,5,2,100.0,0,0,0,4500,36,15.05,156.11,2,1,0,0,0,4093.75,620.68,406.25,214.43,0.0
2.0,1,30000.0,1,3.64,90000.0,1,21.42,0,25.0,2012,0,9,7,18000,5542,0,0,34.0,0,0,0,1,1.0,7,0.0,0,2,17000,8,7,3,0,100.0,0,0,0,16000,60,9.93,339.41,1,2,0,0,0,14947.68,1688.22,1052.32,635.9,0.0
6.0,0,88000.0,2,17.24,90000.0,1,21.42,0,61.0,2004,2,39,25,404236,199983,0,0,34.0,0,0,18,5,3.0,25,0.0,0,3,32000,8,6,4,2,97.4,0,0,0,10000,36,10.42,324.65,1,2,0,0,0,9036.27,1292.81,963.73,329.08,0.0
2.0,0,115000.0,0,18.72,90000.0,1,21.42,0,26.0,2005,6,21,15,394519,69124,0,0,42.0,0,0,2,11,1.0,15,0.0,0,8,40150,12,10,5,2,76.0,0,0,0,20000,60,22.91,562.78,4,1,0,0,0,19255.22,2225.66,744.78,1480.88,0.0
10.0,1,95731.0,1,19.64,90000.0,1,21.42,0,25.0,2002,1,37,15,86768,53109,0,0,34.0,0,0,2,10,4.0,15,0.0,0,2,33700,21,13,4,0,100.0,0,0,0,20600,60,30.79,676.52,6,2,0,0,0,19821.53,3345.79,778.47,2567.32,0.0
2.0,1,127000.0,2,9.12,90000.0,1,21.42,1,7.0,2013,0,11,9,74518,34313,0,0,34.0,0,0,1,2,18.0,9,0.0,0,3,32300,9,8,4,0,100.0,0,0,0,35000,60,15.05,833.57,2,1,0,0,0,33396.01,3305.02,1603.99,1701.03,0.0
10.0,0,75000.0,2,22.91,145000.0,2,22.42,0,25.0,1993,0,27,8,224758,63799,0,0,34.0,0,0,4,1,1.0,8,0.0,0,1,23000,8,3,1,3,100.0,0,0,1,10000,36,6.07,304.54,0,0,0,0,0,9234.27,910.25,765.73,144.52,0.0
5.0,0,70000.0,1,21.41,90000.0,1,21.42,0,25.0,2008,1,21,6,279995,52244,0,0,34.0,0,0,2,4,9.0,6,0.0,0,1,14800,10,3,2,3,100.0,0,0,0,12000,36,6.07,365.45,0,0,0,0,0,11081.12,1092.3,918.88,173.42,0.0
5.930306000217794,2,22000.0,2,13.05,40000.0,2,22.39,0,49.0,1984,0,6,3,130600,4277,0,0,49.0,0,0,0,0,1.0,3,0.0,0,1,2300,3,2,2,1,80.0,0,0,1,1925,36,17.47,69.09,3,0,0,0,0,1842.26,139.02,82.74,56.28,0.0
8.0,0,75000.0,0,20.16,90000.0,1,21.42,0,25.0,2006,4,39,23,365595,30262,0,0,34.0,0,391,2,9,0.0,23,0.0,0,6,49600,31,20,7,1,100.0,0,0,0,15000,36,7.34,465.5,0,0,0,0,0,13871.88,1390.38,1128.12,262.26,0.0
10.0,0,73000.0,0,39.08,90000.0,1,21.42,0,25.0,2007,8,28,24,146435,51162,0,1,34.0,0,0,3,9,0.0,24,0.0,0,8,40600,24,21,13,1,100.0,0,1,0,20000,36,13.59,679.58,2,1,0,0,0,18156.66,2703.22,1843.34,859.88,0.0
5.930306000217794,0,76000.0,1,14.62,90000.0,1,21.42,0,25.0,2009,2,15,14,368543,24135,0,0,34.0,0,0,2,9,12.0,14,0.0,0,5,56300,11,11,5,2,100.0,0,0,0,6000,36,6.72,184.5,0,2,0,0,0,5391.31,736.88,608.69,128.19,0.0
10.0,1,188000.0,1,11.64,90000.0,1,21.42,0,25.0,2005,1,26,24,80444,45181,0,0,34.0,0,0,2,10,6.0,24,0.0,0,15,28500,22,22,20,0,100.0,0,0,0,10000,36,5.31,301.11,0,1,0,0,1,8965.72,1201.49,1034.28,167.21,0.0
8.0,0,50000.0,0,12.15,90000.0,1,21.42,0,80.0,2007,8,27,13,97664,21687,0,1,34.0,0,0,1,3,10.0,13,0.0,0,4,25600,21,11,4,2,96.2,0,1,0,25000,36,9.93,805.86,1,2,0,1,0,21955.1,4015.51,3044.9,970.61,0.0
10.0,2,58000.0,2,12.58,90000.0,1,21.42,0,43.0,2004,0,22,10,37300,14770,0,0,43.0,0,0,0,3,1.0,10,0.0,0,4,17000,14,9,6,2,86.4,0,0,0,10000,36,9.92,322.3,1,0,0,0,0,9275.14,961.39,724.86,236.53,0.0
1.0,1,105000.0,1,16.73,90000.0,1,21.42,0,25.0,1990,0,6,6,63600,53168,0,0,34.0,0,0,1,0,1.0,6,0.0,0,4,51100,5,5,4,0,100.0,0,0,0,6000,36,9.93,193.41,1,1,0,1,0,5417.78,768.68,582.22,186.46,0.0
10.0,0,114000.0,0,28.13,90000.0,1,21.42,1,15.0,2001,1,28,17,451597,88594,0,0,15.0,0,0,6,8,12.0,17,0.0,0,2,33000,14,10,8,5,96.4,0,0,0,20000,60,14.07,466.1,2,0,0,0,0,19297.02,1367.03,702.98,664.05,0.0
10.0,0,150000.0,2,7.89,90000.0,1,21.42,0,25.0,1992,1,22,8,96633,43253,0,0,34.0,0,0,2,6,2.0,8,0.0,0,4,54000,18,6,4,0,100.0,0,0,0,15000,36,7.97,469.84,0,1,0,0,0,13504.32,1866.08,1495.68,370.4,0.0
0.0,0,69000.0,1,15.42,90000.0,1,21.42,0,75.0,2003,0,37,8,291176,33890,0,0,34.0,0,0,2,3,14.0,8,0.0,0,2,57700,23,5,3,2,94.3,0,0,0,20000,36,5.31,602.21,0,0,0,1,0,18452.04,1800.73,1547.96,252.77,0.0
10.0,0,30000.0,1,32.4,90000.0,1,21.42,0,27.0,2005,1,27,23,69244,23425,0,0,38.0,0,0,1,4,10.0,21,0.0,0,5,16850,23,20,15,0,93.0,0,0,0,10500,60,9.93,222.74,1,1,0,0,0,9949.81,885.17,550.19,334.98,0.0
5.0,0,60000.0,2,17.28,90000.0,1,21.42,0,25.0,2002,2,16,13,47882,36724,0,1,34.0,0,295,2,8,5.0,13,0.0,0,6,12300,13,11,8,1,100.0,0,1,0,11400,60,14.08,265.74,2,2,0,0,0,10862.71,1098.63,537.29,561.34,0.0
5.0,0,74000.0,1,32.06,90000.0,1,21.42,0,25.0,1999,0,15,9,384554,63783,0,0,34.0,0,0,3,1,16.0,9,0.0,0,5,66400,7,5,5,3,100.0,0,0,0,5500,36,12.61,184.29,2,0,0,1,0,5116.52,549.02,383.48,165.54,0.0
0.0,1,25000.0,2,3.7,90000.0,1,21.42,1,14.0,1972,1,6,4,1900,807,0,0,34.0,0,0,0,2,1.0,4,0.0,0,2,1200,6,4,3,0,66.7,0,0,0,5000,36,12.62,167.56,2,2,0,1,0,4412.9,829.04,587.1,241.94,0.0
5.930306000217794,2,32000.0,2,22.09,90000.0,1,21.42,0,34.0,1998,6,13,6,30649,24714,0,0,34.0,0,0,3,7,1.0,6,0.0,0,2,2500,4,3,3,3,76.9,0,0,0,9600,36,17.47,344.52,3,0,0,0,0,8976.73,1014.93,623.27,391.66,0.0
0.0,1,31000.0,2,16.26,90000.0,1,21.42,0,56.0,2009,2,32,21,43430,14955,0,0,60.0,0,0,1,11,9.0,21,0.0,0,8,22000,24,20,10,0,100.0,0,0,0,15000,36,12.62,502.67,2,2,0,1,0,13238.74,2502.83,1761.26,741.57,0.0
3.0,1,64000.0,2,8.72,90000.0,1,21.42,0,25.0,2010,0,5,5,49500,19719,0,0,34.0,0,0,1,1,15.0,5,0.0,0,2,25000,4,4,2,0,100.0,0,0,0,10000,36,6.71,307.45,0,0,0,0,0,9241.17,914.89,758.83,156.06,0.0
3.0,1,24000.0,2,16.3,90000.0,1,21.42,0,25.0,2011,1,11,11,54966,42068,0,0,34.0,0,0,9,3,1.0,11,0.0,0,1,10000,2,2,1,0,100.0,0,0,0,10450,60,19.42,273.5,3,0,0,0,0,9609.03,1297.95,840.97,456.98,0.0
2.0,0,77000.0,2,16.04,90000.0,1,21.42,0,25.0,2012,3,23,16,188426,59514,0,0,34.0,0,0,5,8,1.0,16,0.0,0,2,14800,11,10,2,1,100.0,0,0,0,7200,36,12.62,241.29,2,1,0,0,0,6527.2,960.11,672.8,287.31,0.0
10.0,0,31000.0,1,28.42,81065.0,1,25.59,0,25.0,2001,0,15,8,190216,24861,0,0,34.0,0,0,1,0,1.0,8,0.0,0,4,20300,7,6,6,4,100.0,0,0,1,35000,60,14.08,815.85,2,2,0,0,0,32925.97,4119.53,2074.03,2045.5,0.0
5.930306000217794,1,13930.0,0,21.94,90000.0,1,21.42,0,25.0,2010,1,11,6,13450,4212,0,0,34.0,0,0,1,6,6.0,6,0.0,0,3,2700,10,5,4,0,100.0,0,0,0,4200,36,10.91,137.33,1,2,0,1,0,3695.17,672.66,504.83,167.83,0.0
0.0,1,60000.0,0,19.22,90000.0,1,21.42,0,25.0,2007,3,23,14,69357,68594,0,0,34.0,0,0,9,2,6.0,14,0.0,0,3,10600,4,4,4,0,100.0,0,0,0,2400,36,17.47,86.13,3,1,0,0,0,2244.18,256.06,155.82,100.24,0.0
9.0,0,41787.0,0,37.74,90000.0,1,21.42,0,25.0,1992,1,32,11,42639,36441,0,0,34.0,0,0,2,7,5.0,11,0.0,0,8,22300,17,9,9,1,100.0,0,0,0,12800,36,18.06,463.14,3,2,0,0,0,11693.32,1871.83,1106.68,765.15,0.0
4.0,0,45000.0,0,15.44,100000.0,0,16.37,0,25.0,2005,2,31,18,215675,13559,0,1,34.0,0,0,2,13,9.0,18,0.0,0,5,20700,21,15,6,2,100.0,0,1,1,8000,36,16.02,281.34,2,2,0,1,0,7103.69,1392.46,896.31,496.15,0.0
0.0,0,77000.0,0,18.39,90000.0,1,21.42,0,37.0,2001,3,11,7,174300,31663,0,0,34.0,0,542,3,4,1.0,7,0.0,0,2,12400,5,3,3,1,90.0,0,0,0,30000,36,19.03,1100.14,3,1,0,1,0,27442.4,4368.84,2557.6,1811.24,0.0
1.0,0,72000.0,2,27.23,90000.0,1,21.42,0,36.0,2001,7,21,13,158659,65964,0,1,34.0,0,0,5,8,0.0,13,0.0,0,2,7900,8,7,4,1,95.2,0,1,0,7000,36,12.62,234.58,2,2,0,1,0,6178.08,1163.08,821.92,341.16,0.0
8.0,0,165000.0,2,11.14,90000.0,1,21.42,0,25.0,2000,2,24,8,103527,70510,0,0,34.0,0,0,2,5,12.0,8,0.0,0,3,43500,9,6,4,2,100.0,0,0,0,25000,36,6.07,761.35,0,1,0,0,0,22441.1,3036.97,2558.9,478.07,0.0
10.0,0,43000.0,2,1.56,90000.0,1,21.42,0,25.0,1984,3,30,15,45100,860,0,0,34.0,0,0,0,8,0.0,15,0.0,0,3,35600,21,15,3,2,100.0,0,0,0,40000,60,9.43,838.71,1,0,0,0,0,37877.63,3220.14,2122.37,1097.77,0.0
10.0,0,90000.0,0,17.44,90000.0,1,21.42,0,25.0,1999,1,32,10,524622,87687,0,0,34.0,0,0,2,3,12.0,10,0.0,0,3,63500,14,7,3,4,100.0,0,0,0,24000,60,10.42,514.91,1,2,0,0,0,22440.6,2505.09,1559.4,945.69,0.0
10.0,2,95000.0,1,11.45,90000.0,1,21.42,0,25.0,1975,2,40,10,73740,14461,0,1,34.0,0,0,1,6,3.0,10,0.0,0,5,29600,23,9,8,0,100.0,0,1,0,5000,36,7.96,156.59,0,0,0,0,0,4627.27,465.35,372.73,92.62,0.0
10.0,0,152000.0,1,21.09,90000.0,1,21.42,0,48.0,2001,5,44,18,476029,121076,0,0,34.0,0,0,3,9,2.0,18,0.0,0,4,170900,27,13,6,4,97.7,0,0,0,40000,60,13.59,922.25,2,2,0,0,0,37600.0,4550.85,2400.0,2150.85,0.0
2.0,0,49500.0,2,34.86,90000.0,1,21.42,0,25.0,2006,1,35,14,241110,159851,0,0,34.0,0,0,6,8,2.0,14,0.0,0,3,26700,8,7,5,1,100.0,0,0,0,15000,60,15.04,357.17,2,0,0,0,0,14486.1,996.32,513.9,482.42,0.0
5.0,2,32000.0,2,13.77,90000.0,1,21.42,0,36.0,2004,1,21,15,37596,18294,0,0,36.0,0,1176,7,9,12.0,15,0.0,0,3,11800,13,8,6,0,76.2,0,0,0,5000,36,12.61,167.54,2,0,0,0,0,4651.37,499.12,348.63,150.49,0.0
8.0,1,78000.0,2,9.61,90000.0,1,21.42,0,58.0,1996,3,21,15,48354,40982,0,1,58.0,0,1358,8,3,4.0,15,0.0,0,5,11900,8,7,6,1,68.4,0,1,0,7000,36,7.96,219.23,0,0,0,0,1,6478.16,654.59,521.84,132.75,0.0
